"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2021","3,555.50","3,558.19","3,561.31","3,531.10","5.23K","-0.08%"
"02/04/2021","3,558.19","3,535.58","3,577.41","3,525.62","5.18K","0.64%"
"02/03/2021","3,535.70","3,529.20","3,545.01","3,510.01","4.86K","0.18%"
"02/02/2021","3,529.20","3,573.01","3,573.01","3,507.51","5.47K","-1.23%"
"02/01/2021","3,573.01","3,569.51","3,584.70","3,540.51","4.84K","0.11%"
"01/29/2021","3,569.01","3,560.01","3,580.01","3,538.41","4.48K","0.25%"
"01/28/2021","3,560.01","3,605.51","3,632.61","3,552.26","4.32K","-1.28%"
"01/27/2021","3,606.01","3,613.51","3,665.91","3,606.01","5.37K","-0.21%"
"01/26/2021","3,613.51","3,587.76","3,614.45","3,560.05","5.09K","0.71%"
"01/25/2021","3,588.01","3,527.70","3,616.66","3,527.70","5.09K","1.71%"
"01/22/2021","3,527.70","3,481.78","3,537.09","3,473.16","4.42K","1.32%"
"01/21/2021","3,481.78","3,467.01","3,492.61","3,450.01","4.74K","0.43%"
"01/20/2021","3,467.01","3,491.66","3,496.01","3,463.61","3.77K","-0.71%"
"01/19/2021","3,491.66","3,478.01","3,499.51","3,451.05","4.73K","0.39%"
"01/18/2021","3,478.01","3,462.11","3,484.05","3,462.11","0.67K","0.46%"
"01/15/2021","3,462.11","3,446.43","3,480.30","3,446.43","4.60K","0.45%"
"01/14/2021","3,446.43","3,476.82","3,484.53","3,446.43","4.48K","-0.88%"
"01/13/2021","3,476.94","3,477.00","3,498.04","3,463.08","4.81K","0.00%"
"01/12/2021","3,477.00","3,494.50","3,501.66","3,462.85","4.10K","-0.69%"
"01/11/2021","3,501.00","3,475.15","3,530.65","3,468.90","3.65K","0.93%"
"01/08/2021","3,468.90","3,489.49","3,500.51","3,464.70","5.33K","-0.60%"
"01/07/2021","3,489.99","3,415.30","3,496.70","3,409.88","7.74K","2.21%"
"01/06/2021","3,414.55","3,443.50","3,444.75","3,409.55","8.39K","-0.86%"
"01/05/2021","3,444.00","3,450.25","3,470.54","3,430.00","7.60K","-0.16%"
"01/04/2021","3,449.50","3,416.50","3,451.30","3,379.71","7.36K","0.80%"
"01/01/2021","3,422.00","3,422.00","3,422.00","3,422.00","","0.00%"
"12/31/2020","3,422.00","3,427.00","3,429.00","3,415.53","0.62K","0.00%"
"12/30/2020","3,422.00","3,474.50","3,475.81","3,414.00","0.96K","-1.51%"
"12/29/2020","3,474.50","3,498.75","3,503.75","3,471.10","1.13K","-0.73%"
"12/28/2020","3,500.00","3,516.50","3,518.00","3,481.50","1.08K","-0.43%"
"12/25/2020","3,515.00","3,515.00","3,515.00","3,515.00","","0.00%"
"12/24/2020","3,515.00","3,500.00","3,516.00","3,480.00","0.98K","0.43%"
"12/23/2020","3,500.00","3,465.00","3,502.45","3,455.00","1.24K","1.01%"
"12/22/2020","3,465.00","3,431.00","3,466.00","3,424.15","7.34K","0.99%"
"12/21/2020","3,431.00","3,419.50","3,474.80","3,419.50","1.06K","0.34%"
"12/18/2020","3,419.50","3,414.10","3,428.20","3,411.07","6.33K","0.16%"
"12/17/2020","3,414.10","3,420.36","3,422.36","3,399.55","5.91K","-0.19%"
"12/16/2020","3,420.61","3,419.70","3,424.42","3,405.01","6.65K","0.03%"
"12/15/2020","3,419.70","3,428.00","3,435.85","3,413.79","6.61K","-0.24%"
"12/14/2020","3,428.00","3,438.10","3,438.10","3,409.00","4.73K","-0.29%"
"12/11/2020","3,438.10","3,420.45","3,441.95","3,415.05","6.62K","0.52%"
"12/10/2020","3,420.45","3,476.50","3,483.25","3,418.50","8.58K","-1.61%"
"12/09/2020","3,476.50","3,491.00","3,496.48","3,454.00","6.81K","-0.40%"
"12/08/2020","3,490.50","3,490.00","3,501.03","3,477.00","4.00K","0.01%"
"12/07/2020","3,490.00","3,466.00","3,496.09","3,466.00","7.36K","0.69%"
"12/04/2020","3,466.00","3,468.50","3,478.00","3,451.00","8.08K","-0.07%"
"12/03/2020","3,468.50","3,522.02","3,525.03","3,468.50","8.84K","-1.52%"
"12/02/2020","3,522.02","3,548.50","3,564.38","3,521.70","9.55K","-0.75%"
"12/01/2020","3,548.50","3,596.25","3,597.50","3,540.60","7.73K","-1.33%"
"11/30/2020","3,596.25","3,606.90","3,613.24","3,580.39","9.02K","-0.30%"
"11/27/2020","3,606.90","3,617.70","3,628.50","3,604.20","5.82K","-0.30%"
"11/26/2020","3,617.70","3,617.70","3,628.63","3,608.03","8.59K","0.00%"
"11/25/2020","3,617.70","3,636.00","3,647.00","3,611.34","7.51K","-0.50%"
"11/24/2020","3,636.00","3,647.55","3,656.07","3,629.25","7.83K","-0.32%"
"11/23/2020","3,647.55","3,632.95","3,649.22","3,611.00","8.22K","0.40%"
"11/20/2020","3,632.95","3,649.95","3,665.45","3,628.50","7.82K","-0.47%"
"11/19/2020","3,649.95","3,643.50","3,659.13","3,637.90","8.07K","0.18%"
